,name,model,year,selling_price,km_driven,fuel,mileage,engine,seats
882,Hyundai EON Magna,Hyundai,2015,270000,43000,Petrol,21.1,814,5
883,Tata Zest Quadrajet,Tata,2017,280000,80000,Diesel,22.95,1248,5
884,Tata Indica Vista,Tata,2012,130000,60000,Diesel,22.3,1248,5
885,Hyundai EON Era,Hyundai,2014,260000,18945,Petrol,21.1,814,5
886,Hyundai Grand i10,Hyundai,2018,710000,70000,Diesel,24.0,1186,5
887,Maruti Eeco Smiles,Maruti,2013,204999,100000,Petrol,15.1,1196,7
888,Datsun GO Plus,Datsun,2017,300000,60000,Petrol,20.62,1198,7
889,Maruti Swift Dzire,Maruti,2009,180000,144000,Diesel,19.3,1248,5
890,Mahindra TUV 300,Mahindra,2016,700000,120000,Diesel,18.49,1493,7
891,Hyundai i20 1.4,Hyundai,2012,320000,107825,Diesel,21.9,1396,5
892,Maruti Alto 800,Maruti,2020,370000,15000,Petrol,22.05,796,5
893,Renault KWID RXT,Renault,2018,340000,10000,Petrol,25.17,799,5
894,Maruti XL6 Alpha,Maruti,2019,1040000,1620,Petrol,19.01,1462,6
895,Hyundai i20 Active,Hyundai,2018,750000,30000,Diesel,21.19,1396,5
896,Mahindra TUV 300,Mahindra,2018,600000,70000,Diesel,18.49,2179,9
897,Mahindra Bolero 2011-2019,Mahindra,2016,550000,70000,Diesel,15.96,2523,9
898,Toyota Innova 2.5,Toyota,2013,600000,95000,Diesel,12.99,2494,7
899,Tata Tigor 1.05,Tata,2017,550000,50000,Diesel,24.7,1047,5
900,Honda City i,Honda,2015,750000,160000,Diesel,25.1,1498,5
901,Hyundai Santro Magna,Hyundai,2019,450000,10000,Petrol,20.3,1086,5
902,Maruti Ertiga VDI,Maruti,2012,400000,100000,Diesel,20.77,1248,7
903,Maruti Swift VDI,Maruti,2016,520000,50000,Diesel,25.2,1248,5
904,Maruti Alto K10,Maruti,2013,199000,60000,Petrol,20.2,998,5
905,Chevrolet Beat Diesel,Chevrolet,2012,150000,110000,Diesel,25.44,936,5
906,Hyundai i20 Active,Hyundai,2016,540000,80000,Diesel,21.19,1396,5
907,Maruti SX4 ZDI,Maruti,2011,250000,85000,Diesel,21.5,1248,5
908,Maruti Wagon R,Maruti,2010,200000,90000,Petrol,18.9,1061,5
909,Tata Indica V2,Tata,2011,130000,90000,Diesel,25.0,1396,5
910,Maruti 800 AC,Maruti,2007,90000,90000,Petrol,16.1,796,4
911,Hyundai Verna 1.6,Hyundai,2012,450000,120000,Diesel,22.32,1582,5
912,Hyundai Verna CRDi,Hyundai,2009,280000,120000,Diesel,18.1,1493,5
913,Tata New Safari,Tata,2007,280000,160000,Diesel,13.93,2956,7
914,Maruti Zen LXI,Maruti,2006,120000,141000,Petrol,17.3,993,5
915,Maruti Swift Ldi,Maruti,2008,290000,100000,Diesel,17.8,1248,5
916,Hyundai Creta 1.4,Hyundai,2019,1000000,15000,Diesel,22.1,1396,5
917,Maruti Swift Dzire,Maruti,2012,415000,108000,Diesel,19.3,1248,5
918,Maruti Swift Dzire,Maruti,2012,415000,108000,Diesel,23.4,1248,5
919,Chevrolet Beat Diesel,Chevrolet,2015,240000,55000,Diesel,25.44,936,5
920,Tata Indica Vista,Tata,2010,250000,37944,Diesel,18.4,1248,5
921,Ford Figo Diesel,Ford,2011,175000,90400,Diesel,20.0,1399,5
922,Hyundai Verna CRDi,Hyundai,2008,220000,85000,Diesel,16.8,1493,5
923,Maruti Zen D,Maruti,2003,85000,120000,Diesel,20.8,1527,5
924,Maruti Swift Dzire,Maruti,2019,675000,5000,Petrol,21.21,1197,5
925,Renault Duster 85PS,Renault,2016,535000,50000,Diesel,19.87,1461,5
926,Renault Triber RXZ,Renault,2019,675000,5000,Petrol,20.0,999,7
927,Maruti Vitara Brezza,Maruti,2016,800000,90000,Diesel,24.3,1248,5
928,Maruti Ertiga ZDI,Maruti,2012,425000,96000,Diesel,20.77,1248,7
929,Maruti Eeco 5,Maruti,2011,150000,80000,Petrol,15.37,1196,5
930,Maruti Zen Estilo,Maruti,2007,90000,60000,Petrol,18.2,1061,5
931,Mahindra XUV500 W6,Mahindra,2015,850000,90000,Diesel,15.1,2179,7
932,Toyota Innova 2.5,Toyota,2008,330000,193623,Diesel,12.8,2494,8
933,Hyundai i20 1.4,Hyundai,2017,850000,63186,Diesel,22.54,1396,5
934,Mahindra Bolero SLX,Mahindra,2008,305000,219000,Diesel,13.6,2523,7
935,Toyota Innova 2.5,Toyota,2013,910000,110000,Diesel,12.99,2494,7
936,Toyota Innova 2.5,Toyota,2012,1100000,151000,Diesel,12.8,2494,8
937,Maruti Baleno Zeta,Maruti,2019,675000,5000,Petrol,21.4,1197,5
938,Maruti Alto LXi,Maruti,2010,150000,91500,Petrol,19.7,796,5
939,Maruti Swift VDI,Maruti,2015,550000,23000,Diesel,25.2,1248,5
940,Volkswagen Vento Diesel,Volkswagen,2012,350000,40000,Diesel,20.54,1598,5
941,Maruti Ritz VDi,Maruti,2012,300000,70000,Diesel,23.2,1248,5
942,Toyota Innova Crysta,Toyota,2018,1745000,10000,Diesel,11.36,2755,7
943,Mahindra Scorpio 2009-2014,Mahindra,2014,611000,90000,Diesel,14.0,2523,7
944,Honda Brio S,Honda,2016,400000,68000,Petrol,19.4,1198,5
945,Hyundai Elantra CRDi,Hyundai,2013,700000,120000,Diesel,22.7,1582,5
946,Chevrolet Sail Hatchback,Chevrolet,2013,300000,65000,Diesel,22.1,1248,5
947,Hyundai Getz GLS,Hyundai,2005,65000,85000,Petrol,15.3,1341,5
948,Maruti Wagon R,Maruti,2011,200000,94000,Petrol,18.9,998,5
949,Hyundai i20 Asta,Hyundai,2015,650000,100000,Diesel,22.54,1396,5
950,Hyundai i20 Asta,Hyundai,2015,650000,80000,Diesel,22.54,1396,5
951,Volkswagen Polo Diesel,Volkswagen,2013,350000,80000,Diesel,22.07,1199,5
952,Tata Indica V2,Tata,2011,75000,140500,Diesel,17.88,1396,5
953,Maruti Swift Dzire,Maruti,2010,240000,143000,Petrol,17.5,1298,5
954,Maruti Alto K10,Maruti,2013,240000,60000,Petrol,20.92,998,5
955,Tata Indica Vista,Tata,2011,180000,120000,Diesel,18.4,1248,5
956,Hyundai Santa Fe,Hyundai,2014,900000,80000,Diesel,13.01,2199,7
957,Mahindra Thar DI,Mahindra,2014,425000,63000,Diesel,18.06,2523,7
958,Chevrolet Spark 1.0,Chevrolet,2009,95000,120000,Petrol,18.0,995,5
959,Maruti Swift Dzire,Maruti,2018,811000,100000,Diesel,28.4,1248,5
960,Hyundai Verna VTVT,Hyundai,2018,1100000,60000,Petrol,17.0,1591,5
961,Chevrolet Tavera Neo,Chevrolet,2013,600000,90000,Diesel,13.58,2499,9
962,Maruti Ertiga VDI,Maruti,2014,550000,50000,Diesel,20.77,1248,7
963,Mahindra Scorpio S4,Mahindra,2015,715000,70000,Diesel,15.4,2179,7
964,Tata Indigo LS,Tata,2006,100000,120000,Diesel,16.1,1405,5
965,Mahindra Scorpio EX,Mahindra,2013,500000,195000,Diesel,14.0,2523,8
966,Maruti Wagon R,Maruti,2013,350000,40000,Petrol,20.51,998,5
967,Tata Indica V2,Tata,2008,100000,40000,Diesel,16.8,1405,5
968,Tata Safari DICOR,Tata,2012,325000,120000,Diesel,13.93,2179,7
969,Maruti Wagon R,Maruti,2012,220000,360003,Petrol,18.9,998,5
970,Maruti 800 AC,Maruti,1999,55000,60000,Petrol,16.1,796,4
971,Renault KWID RXT,Renault,2016,330000,20000,Petrol,25.17,799,5
972,Mahindra Bolero 2011-2019,Mahindra,2014,480000,37000,Diesel,15.96,2523,7
973,Maruti S-Cross 2017-2020,Maruti,2018,950000,57000,Diesel,25.1,1248,5
974,Hyundai Verna Transform,Hyundai,2011,300000,110000,Diesel,16.2,1493,5
975,Hyundai Verna Xi,Hyundai,2006,170000,110000,Petrol,13.9,1599,5
976,Toyota Innova 2.5,Toyota,2013,850000,120000,Diesel,12.99,2494,8
977,Tata Tigor 2017-2020,Tata,2019,900000,8079,Diesel,24.7,1047,5
978,Toyota Innova 2.5,Toyota,2015,1325000,114368,Diesel,12.99,2494,7
979,Ford Fiesta Classic,Ford,2012,350000,79990,Diesel,17.8,1399,5
980,Ford Figo Diesel,Ford,2012,425000,81632,Diesel,20.0,1399,5
981,Ford Aspire Titanium,Ford,2016,600000,155201,Diesel,26.1,1498,5
982,Ford Ecosport 1.5,Ford,2014,750000,101504,Diesel,22.7,1498,5
983,Ford Fiesta Classic,Ford,2012,450000,90165,Diesel,17.8,1399,5
984,Ford Figo Titanium,Ford,2010,325000,86017,Diesel,25.5,1498,5
985,Mahindra XUV500 W8,Mahindra,2013,900000,85036,Diesel,15.1,2179,7
986,Ford EcoSport 1.5,Ford,2013,600000,125531,Diesel,22.77,1498,5
987,Hyundai Verna VTVT,Hyundai,2019,1100000,10000,Petrol,17.0,1591,5
988,Tata Tiago 1.2,Tata,2017,520000,20000,Petrol,23.84,1199,5
989,Mahindra Scorpio S10,Mahindra,2015,885000,170000,Diesel,15.4,2179,7
990,Tata Nexon 1.5,Tata,2018,950000,40000,Diesel,21.5,1497,5
991,Honda City 1.5,Honda,2008,229999,120000,Petrol,17.0,1497,5
992,Maruti Ritz VDi,Maruti,2013,409999,100000,Diesel,23.2,1248,5
993,Ford Fiesta EXi,Ford,2011,300000,110000,Diesel,17.8,1399,5
994,Tata Indica V2,Tata,2008,175000,120000,Diesel,16.8,1405,5
995,Maruti Alto LX,Maruti,2000,108000,206000,Petrol,19.7,796,5
996,Maruti Celerio ZXI,Maruti,2017,425000,40000,Petrol,23.1,998,5
997,Chevrolet Optra Magnum,Chevrolet,2011,272000,170000,Diesel,16.52,1991,5
998,Hyundai i10 Magna,Hyundai,2013,310000,70000,Petrol,19.81,1086,5
999,Hyundai Creta 1.4,Hyundai,2017,1125000,105000,Diesel,21.38,1396,5
1000,Hyundai Xcent 1.2,Hyundai,2014,450000,46000,Petrol,19.1,1197,5
1001,Volkswagen Polo Diesel,Volkswagen,2011,388000,80000,Diesel,22.07,1199,5
1002,Hyundai Verna Transform,Hyundai,2011,400000,60000,Petrol,16.2,1599,5
1003,Honda City i,Honda,2015,760000,70000,Diesel,25.1,1498,5
1004,Maruti Alto LXi,Maruti,2009,120000,90000,Petrol,19.7,796,5
1005,Maruti Swift Dzire,Maruti,2019,757000,25000,Diesel,28.4,1248,5
1006,Maruti Alto 800,Maruti,2015,270000,53000,Petrol,22.74,796,5
1007,Tata Sumo MKII,Tata,2011,250000,90000,Diesel,13.55,2179,7
1008,Toyota Innova Crysta,Toyota,2011,800000,60000,Diesel,12.8,2494,7
1009,Toyota Fortuner 4x2,Toyota,2014,1380000,150000,Diesel,13.0,2982,7
1010,Mahindra Thar CRDe,Mahindra,2014,700000,24000,Diesel,16.55,2498,6
1011,Honda Mobilio S,Honda,2016,450000,100000,Diesel,24.2,1498,7
1012,Mahindra KUV 100,Mahindra,2018,650000,6000,Petrol,18.15,1198,6
1013,Mahindra XUV500 W8,Mahindra,2013,950000,49700,Diesel,15.1,2179,7
1014,Toyota Innova 2.5,Toyota,2007,626000,80000,Diesel,12.8,2494,7
1015,Maruti Swift Dzire,Maruti,2019,600000,10000,Petrol,21.21,1197,5
1016,Renault KWID RXT,Renault,2019,290000,21000,Petrol,25.17,799,5
1017,Maruti Alto K10,Maruti,2013,215000,25000,Petrol,20.92,998,5
1018,Renault KWID RXT,Renault,2016,250000,22000,Petrol,25.17,799,5
1019,Maruti Ertiga SHVS,Maruti,2017,750000,50000,Diesel,24.52,1248,7
1020,Maruti Alto K10,Maruti,2016,250000,20000,Petrol,23.95,998,5
1021,Honda BRV i-VTEC,Honda,2017,950000,15000,Petrol,15.4,1497,7
1022,Ford Figo Aspire,Ford,2018,793000,30000,Diesel,25.83,1498,5
1023,Hyundai Creta 1.6,Hyundai,2015,750000,74000,Diesel,19.67,1582,5
1024,Honda Jazz V,Honda,2017,725000,6550,Petrol,18.2,1199,5
1025,Hyundai Grand i10,Hyundai,2016,480000,30000,Diesel,24.0,1120,5
1026,BMW X6 xDrive30d,BMW,2013,3750000,56000,Diesel,11.2,2993,4
1027,Maruti Swift Dzire,Maruti,2018,795000,41779,Petrol,21.21,1197,5
1028,Honda Jazz 1.2,Honda,2016,625000,54000,Petrol,18.7,1199,5
1029,Mercedes-Benz E-Class E250,Mercedes-Benz,2016,2900000,31000,Diesel,13.0,2143,5
1030,Maruti Ignis 1.3,Maruti,2017,625000,37000,Diesel,26.8,1248,5
1031,Chevrolet Cruze LTZ,Chevrolet,2011,440000,90000,Diesel,18.1,1991,4
1032,Toyota Corolla Altis,Toyota,2018,1400000,13534,Petrol,14.28,1798,5
1033,Toyota Corolla Altis,Toyota,2017,1450000,7000,Petrol,14.53,1794,5
1034,Mercedes-Benz GLA Class,Mercedes-Benz,2017,2700000,23000,Diesel,17.9,2143,5
1035,Toyota Innova Crysta,Toyota,2019,1925000,43000,Diesel,11.36,2755,8
1036,Kia Seltos HTX,Kia,2020,1900000,5000,Diesel,17.8,1493,5
1037,Maruti Ciaz RS,Maruti,2017,844999,70000,Diesel,28.09,1248,5
1038,Skoda Rapid 1.5,Skoda,2016,650000,99000,Diesel,21.66,1498,5
1039,Maruti Swift ZXI,Maruti,2018,750000,15000,Petrol,22.0,1197,5
1040,BMW 6 Series,BMW,2018,6000000,28156,Diesel,17.09,2993,4
1041,Honda Jazz 1.2,Honda,2015,610000,30000,Petrol,18.7,1199,5
1042,Toyota Fortuner 2.8,Toyota,2018,2940000,100000,Diesel,12.9,2755,7
1043,Hyundai Creta 1.6,Hyundai,2017,1150000,63309,Diesel,19.67,1582,5
1044,Toyota Innova Crysta,Toyota,2016,1825000,94000,Diesel,11.36,2755,7
1045,Hyundai Elite i20,Hyundai,2018,890000,29000,Petrol,17.4,1197,5
1046,Jaguar XE 2016-2019,Jaguar,2017,2625000,9000,Diesel,13.6,1999,5
1047,Lexus ES 300h,Lexus,2019,5150000,20000,Petrol,22.37,2487,5
1048,Jaguar XF 2.0,Jaguar,2017,3200000,45000,Diesel,19.33,1999,5
1049,Tata Safari Storme,Tata,2015,503000,110000,Diesel,14.1,2179,7
1050,Volvo XC40 D4,Volvo,2019,3800000,20000,Diesel,18.0,1969,5
1051,Toyota Camry 2.5,Toyota,2016,2000000,68089,Petrol,19.16,2494,5
1052,Maruti Wagon R,Maruti,2013,225000,58343,Petrol,21.79,998,5
1053,Maruti Baleno Alpha,Maruti,2018,740000,38817,Diesel,27.39,1248,5
1054,Honda Jazz VX,Honda,2016,550000,56494,Petrol,18.2,1199,5
1055,Toyota Innova 2.5,Toyota,2013,750000,79328,Diesel,12.99,2494,7
1056,Maruti Swift AMT,Maruti,2019,650000,5621,Petrol,22.0,1197,5
1057,Toyota Etios VX,Toyota,2017,625000,25538,Petrol,16.78,1496,5
1058,Maruti Swift AMT,Maruti,2018,600000,69779,Petrol,22.0,1197,5
1059,Hyundai Grand i10,Hyundai,2017,450000,56290,Diesel,24.0,1186,5
1060,BMW X4 M,BMW,2019,5400000,7500,Diesel,16.78,1995,5
1061,BMW X4 M,BMW,2019,5500000,8500,Diesel,16.78,1995,5
1062,Honda Amaze V,Honda,2019,779000,7032,Petrol,19.0,1199,5
1063,Skoda Rapid 1.6,Skoda,2016,645000,11000,Petrol,14.3,1598,5
1064,Volvo V40 D3,Volvo,2018,2475000,2000,Diesel,16.8,1984,5
1065,Jaguar XE 2016-2019,Jaguar,2017,2625000,9000,Diesel,13.6,1999,5
1066,Lexus ES 300h,Lexus,2019,5150000,20000,Petrol,22.37,2487,5
1067,Jaguar XF 2.0,Jaguar,2017,3200000,45000,Diesel,19.33,1999,5
1068,Tata Safari Storme,Tata,2015,503000,110000,Diesel,14.1,2179,7
1069,Volvo XC40 D4,Volvo,2019,3800000,20000,Diesel,18.0,1969,5
1070,Toyota Camry 2.5,Toyota,2016,2000000,68089,Petrol,19.16,2494,5
1071,Maruti Wagon R,Maruti,2013,225000,58343,Petrol,21.79,998,5
1072,Maruti Baleno Alpha,Maruti,2018,740000,38817,Diesel,27.39,1248,5
1073,Honda Jazz VX,Honda,2016,550000,56494,Petrol,18.2,1199,5
1074,Toyota Innova 2.5,Toyota,2013,750000,79328,Diesel,12.99,2494,7
1075,Maruti Swift AMT,Maruti,2019,650000,5621,Petrol,22.0,1197,5
1076,Toyota Etios VX,Toyota,2017,625000,25538,Petrol,16.78,1496,5
1077,Maruti Swift AMT,Maruti,2018,600000,69779,Petrol,22.0,1197,5
1078,Hyundai Grand i10,Hyundai,2017,450000,56290,Diesel,24.0,1186,5
1079,BMW X4 M,BMW,2019,5400000,7500,Diesel,16.78,1995,5
1080,BMW X4 M,BMW,2019,5500000,8500,Diesel,16.78,1995,5
1081,Honda Amaze V,Honda,2019,779000,7032,Petrol,19.0,1199,5
1082,Skoda Rapid 1.6,Skoda,2016,645000,11000,Petrol,14.3,1598,5
1083,Volvo V40 D3,Volvo,2018,2475000,2000,Diesel,16.8,1984,5
1084,Jaguar XE 2016-2019,Jaguar,2017,2625000,9000,Diesel,13.6,1999,5
1085,Lexus ES 300h,Lexus,2019,5150000,20000,Petrol,22.37,2487,5
1086,Jaguar XF 2.0,Jaguar,2017,3200000,45000,Diesel,19.33,1999,5
1087,Tata Safari Storme,Tata,2015,503000,110000,Diesel,14.1,2179,7
1088,Volvo XC40 D4,Volvo,2019,3800000,20000,Diesel,18.0,1969,5
1089,Toyota Camry 2.5,Toyota,2016,2000000,68089,Petrol,19.16,2494,5
1090,Maruti Wagon R,Maruti,2013,225000,58343,Petrol,21.79,998,5
1091,Maruti Baleno Alpha,Maruti,2018,740000,38817,Diesel,27.39,1248,5
1092,Honda Jazz VX,Honda,2016,550000,56494,Petrol,18.2,1199,5
1093,Toyota Innova 2.5,Toyota,2013,750000,79328,Diesel,12.99,2494,7
1094,Maruti Swift AMT,Maruti,2019,650000,5621,Petrol,22.0,1197,5
1095,Toyota Etios VX,Toyota,2017,625000,25538,Petrol,16.78,1496,5
1096,Maruti Swift AMT,Maruti,2018,600000,69779,Petrol,22.0,1197,5
1097,Hyundai Grand i10,Hyundai,2017,450000,56290,Diesel,24.0,1186,5
1098,BMW X4 M,BMW,2019,5400000,7500,Diesel,16.78,1995,5
1099,BMW X4 M,BMW,2019,5500000,8500,Diesel,16.78,1995,5
1100,Honda Amaze V,Honda,2019,779000,7032,Petrol,19.0,1199,5
1101,Skoda Rapid 1.6,Skoda,2016,645000,11000,Petrol,14.3,1598,5
1102,Volvo V40 D3,Volvo,2018,2475000,2000,Diesel,16.8,1984,5
1103,Jaguar XE 2016-2019,Jaguar,2017,2625000,9000,Diesel,13.6,1999,5
1104,Lexus ES 300h,Lexus,2019,5150000,20000,Petrol,22.37,2487,5
1105,Jaguar XF 2.0,Jaguar,2017,3200000,45000,Diesel,19.33,1999,5
1106,Tata Safari Storme,Tata,2015,503000,110000,Diesel,14.1,2179,7
1107,Volvo XC40 D4,Volvo,2019,3800000,20000,Diesel,18.0,1969,5
1108,Toyota Camry 2.5,Toyota,2016,2000000,68089,Petrol,19.16,2494,5
1109,Maruti Wagon R,Maruti,2013,225000,58343,Petrol,21.79,998,5
1110,Maruti Baleno Alpha,Maruti,2018,740000,38817,Diesel,27.39,1248,5
1111,Honda Jazz VX,Honda,2016,550000,56494,Petrol,18.2,1199,5
1112,Toyota Innova 2.5,Toyota,2013,750000,79328,Diesel,12.99,2494,7
1113,Maruti Swift AMT,Maruti,2019,650000,5621,Petrol,22.0,1197,5
1114,Toyota Etios VX,Toyota,2017,625000,25538,Petrol,16.78,1496,5
1115,Maruti Swift AMT,Maruti,2018,600000,69779,Petrol,22.0,1197,5
1116,Hyundai Grand i10,Hyundai,2017,450000,56290,Diesel,24.0,1186,5
1117,BMW X4 M,BMW,2019,5400000,7500,Diesel,16.78,1995,5
1118,BMW X4 M,BMW,2019,5500000,8500,Diesel,16.78,1995,5
1119,Honda Amaze V,Honda,2019,779000,7032,Petrol,19.0,1199,5
1120,Skoda Rapid 1.6,Skoda,2016,645000,11000,Petrol,14.3,1598,5
1121,Volvo V40 D3,Volvo,2018,2475000,2000,Diesel,16.8,1984,5
1122,Tata Indigo CS,Tata,2017,385000,155000,Diesel,25.0,1396,5
1123,Maruti Celerio ZXI,Maruti,2016,400000,35000,Petrol,23.1,998,5
1124,Hyundai Grand i10,Hyundai,2018,550000,50000,Diesel,24.0,1186,5
1125,Chevrolet Tavera Neo,Chevrolet,2010,270000,185000,Diesel,14.8,2499,7
1126,Tata Indigo CS,Tata,2013,200000,175000,Diesel,19.09,1396,5
1127,Renault KWID RXT,Renault,2016,310000,11500,Petrol,25.17,799,5
1128,Hyundai Xcent 1.2,Hyundai,2019,700000,3000,Diesel,25.4,1186,5
1129,Chevrolet Sail LT,Chevrolet,2015,480000,80000,Diesel,22.1,1248,5
1130,Maruti Alto LXI,Maruti,2005,90000,40000,Petrol,19.7,796,5
1131,Maruti Alto LXI,Maruti,2005,80000,40000,Petrol,19.7,796,5
1132,Maruti Ritz VDi,Maruti,2015,350000,90000,Diesel,23.2,1248,5
1133,Maruti SX4 S,Maruti,2017,600000,100000,Diesel,23.65,1248,5
1134,Mahindra Scorpio M2DI,Mahindra,2011,350000,120000,Diesel,13.5,2179,5
1135,Maruti Vitara Brezza,Maruti,2018,770000,50000,Diesel,24.3,1248,5
1136,Mahindra Verito 1.5,Mahindra,2012,350000,25000,Diesel,21.03,1461,5
1137,Mahindra Scorpio VLX,Mahindra,2011,600000,50000,Diesel,12.05,2179,8
1138,Mahindra TUV 300,Mahindra,2016,750000,71000,Diesel,18.49,1493,7
1139,Maruti Wagon R,Maruti,2016,340000,40000,Petrol,20.51,998,5
1140,Hyundai Elite i20,Hyundai,2018,650000,31800,Petrol,18.6,1197,5
1141,Hyundai i10 Sportz,Hyundai,2014,300000,65000,Petrol,20.36,1197,5
1142,Maruti Alto 800,Maruti,2014,204999,15000,Petrol,22.74,796,5
1143,Mahindra Verito 1.5,Mahindra,2012,254999,70000,Diesel,20.8,1461,5
1144,Ford Figo Aspire,Ford,2017,650000,5000,Petrol,18.16,1196,5
1145,Hyundai EON Magna,Hyundai,2017,280000,50000,Petrol,21.1,814,5
1146,Tata Indica V2,Tata,2011,100000,80000,Diesel,17.2,1396,5
1147,Chevrolet Tavera Neo,Chevrolet,2014,575000,70000,Diesel,13.58,2499,9
1148,Maruti Vitara Brezza,Maruti,2017,780000,40000,Diesel,24.3,1248,5
1149,Mahindra Bolero 2011-2019,Mahindra,2013,467000,157000,Diesel,15.96,2523,7
1150,Mahindra Scorpio S10,Mahindra,2015,1050000,90000,Diesel,15.4,2179,7
1151,Hyundai i10 Magna,Hyundai,2011,225000,80000,Petrol,19.81,1086,5
1152,Mahindra Verito 1.5,Mahindra,2012,260000,70000,Diesel,21.03,1461,5
1153,Chevrolet Spark 1.0,Chevrolet,2009,90000,50000,Petrol,16.0,995,5
1154,Ford Figo Diesel,Ford,2012,280000,60000,Diesel,20.0,1399,5
1155,Mahindra Verito 1.5,Mahindra,2014,350000,106000,Diesel,20.8,1461,5
1156,Mahindra Scorpio 2.6,Mahindra,2006,229999,80000,Diesel,10.5,2179,7
1157,Mahindra Bolero 2011-2019,Mahindra,2016,550000,80000,Diesel,15.96,2523,9
1158,Toyota Innova 2.5,Toyota,2013,850000,110000,Diesel,12.99,2494,8
1159,Mahindra Bolero DI,Mahindra,2011,370000,120000,Diesel,13.6,2523,7
1160,Maruti Alto K10,Maruti,2013,250000,27000,Petrol,20.92,998,5
1161,Maruti Alto LXi,Maruti,2007,95000,70000,Petrol,19.7,796,5
1162,Maruti Wagon R,Maruti,2010,180000,70000,Petrol,18.9,1061,5
1163,Mahindra NuvoSport N8,Mahindra,2016,650000,50000,Diesel,17.45,1493,7
1164,Hyundai Xcent 1.2,Hyundai,2018,530000,60000,Diesel,25.4,1186,5
1165,Maruti Swift VVT,Maruti,2017,610000,15000,Petrol,22.0,1197,5
1166,Mahindra Xylo E4,Mahindra,2010,265000,135000,Diesel,14.0,2498,8
1167,Tata Tiago 1.2,Tata,2018,560000,26300,Petrol,23.84,1199,5
1168,Mahindra Bolero 2011-2019,Mahindra,2014,430000,120000,Diesel,15.96,2523,7
1169,Maruti Swift Dzire,Maruti,2017,711000,35000,Diesel,28.4,1248,5
1170,Maruti Swift Dzire,Maruti,2015,511000,30000,Petrol,20.85,1197,5
1171,Mahindra Bolero 2011-2019,Mahindra,2012,450000,165000,Diesel,15.96,2523,7
1172,Tata Zest Revotron,Tata,2015,325000,50000,Petrol,17.57,1193,5
1173,Renault Scala Diesel,Renault,2013,434999,120000,Diesel,21.64,1461,5
1174,Ford Figo Diesel,Ford,2010,210000,100000,Diesel,20.0,1399,5
1175,Maruti SX4 Vxi,Maruti,2007,160000,120000,Petrol,15.0,1586,5
1176,Maruti Ertiga VXI,Maruti,2017,650000,70000,Petrol,17.5,1373,7
1177,Hyundai i20 Sportz,Hyundai,2014,320000,72000,Petrol,18.6,1197,5
1178,Renault KWID Climber,Renault,2017,290000,50000,Petrol,23.01,999,5
1179,Tata Nano CX,Tata,2013,80000,30000,Petrol,25.4,624,4
1180,Tata Safari Storme,Tata,2017,1100000,20000,Diesel,14.1,2179,7
1181,Maruti Ciaz ZDi,Maruti,2015,600000,110000,Diesel,26.21,1248,5
1182,Renault KWID RXT,Renault,2017,340000,25000,Petrol,25.17,799,5
1183,Toyota Innova 2.5,Toyota,2014,750000,120000,Diesel,12.99,2494,7
1184,Maruti Alto LX,Maruti,2006,100000,40000,Petrol,19.7,796,5
1185,Renault KWID RXT,Renault,2019,395000,10000,Petrol,25.17,799,5
1186,Maruti Wagon R,Maruti,2010,200000,65000,Petrol,18.9,1061,5
1187,Maruti Eeco CNG,Maruti,2019,450000,10000,CNG,21.94,1196,5
1188,Mahindra Verito 1.4,Mahindra,2012,180000,110000,Petrol,13.87,1390,5
1189,Mahindra Bolero DI,Mahindra,2008,190000,120000,Diesel,13.6,2523,7
1190,Maruti Eeco 5,Maruti,2015,310000,72000,Petrol,15.37,1196,5
1191,Maruti Ritz VDi,Maruti,2014,351000,89100,Diesel,23.2,1248,5
1192,Chevrolet Optra 1.6,Chevrolet,2006,190000,94000,Petrol,17.4,1599,5
1193,Hyundai EON Magna,Hyundai,2015,225000,120000,Petrol,21.1,814,5
1194,Chevrolet Spark 1.0,Chevrolet,2012,130000,110000,Petrol,16.2,995,5
1195,Maruti Ciaz Alpha,Maruti,2018,1000000,50000,Diesel,28.09,1248,5
1196,Tata Indica V2,Tata,2004,55000,90000,Diesel,16.8,1405,5
1197,Chevrolet Sail 1.2,Chevrolet,2014,330000,23000,Petrol,18.2,1199,5
1198,Maruti Omni MPI,Maruti,2013,166000,50000,Petrol,16.8,796,5
1199,Mahindra Xylo D4,Mahindra,2013,200000,300000,Diesel,14.0,2498,8
1200,Maruti Alto K10,Maruti,2011,140000,50000,Petrol,20.92,998,5
1201,Maruti Eeco CNG,Maruti,2017,370000,140000,CNG,21.94,1196,5
1202,Hyundai Elite i20,Hyundai,2019,720000,16000,Petrol,17.4,1197,5
1203,Hyundai i20 Active,Hyundai,2015,500000,126000,Diesel,21.19,1396,5
1204,Hyundai Xcent 1.2,Hyundai,2019,570000,15000,Petrol,20.14,1197,5
1205,Maruti Swift Dzire,Maruti,2010,210000,200000,Petrol,17.5,1197,5
1206,Maruti Alto LXi,Maruti,2009,120000,120000,Petrol,19.7,796,5
1207,Hyundai Getz GLX,Hyundai,2005,95000,120000,Petrol,15.3,1341,5
1208,Hyundai i10 Sportz,Hyundai,2010,196000,110000,Petrol,16.95,1197,5
1209,Maruti Eeco 5,Maruti,2016,392000,38000,Petrol,15.37,1196,5
1210,Tata Manza Aura,Tata,2010,150000,104000,Petrol,15.0,1368,5
